Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-01-09,129.20,131.11,129.04,131.07,96.858,+1.10%,9398800
2015-01-12,131.00,132.31,130.92,131.82,97.412,+0.57%,6658100
2015-01-13,131.39,132.61,131.14,131.82,97.412,+0.00%,8260800
2015-01-14,133.72,134.12,132.70,132.82,98.151,+0.76%,12324500
2015-01-15,132.85,135.03,132.68,134.91,99.695,+1.57%,11454200
2015-01-16,134.33,134.68,133.03,133.19,98.424,-1.27%,9390500
2015-01-20,134.13,135.11,134.07,134.96,99.732,+1.33%,7758700
2015-01-21,135.20,135.59,132.96,133.40,98.579,-1.16%,9803900
2015-01-22,134.00,134.18,132.28,132.92,98.225,-0.36%,10200000
2015-01-23,134.30,135.12,134.15,134.77,99.592,+1.39%,7334600
2015-01-26,134.84,135.19,134.05,134.36,99.289,-0.30%,5966500
2015-01-27,135.73,136.13,134.15,134.57,99.444,+0.16%,8079600
2015-01-28,134.75,137.41,134.70,136.77,101.070,+1.63%,12230300
2015-01-29,136.12,136.67,135.46,135.87,100.405,-0.66%,8881400
2015-01-30,137.71,138.50,137.18,138.28,102.186,+1.77%,14871200
2015-02-02,136.70,137.92,136.66,137.48,101.800,-0.58%,13689900
2015-02-03,135.65,135.79,134.37,134.57,99.645,-2.12%,14008700
2015-02-04,133.49,134.99,133.12,134.80,99.815,+0.17%,11360400
2015-02-05,134.00,134.23,133.11,133.32,98.720,-1.10%,8334600
2015-02-06,132.05,132.35,130.59,130.96,96.972,-1.77%,13685600
2015-02-09,131.97,131.98,130.75,130.75,96.817,-0.16%,8025500
2015-02-10,130.14,130.47,129.44,129.71,96.046,-0.80%,8290700
2015-02-11,129.70,130.27,128.96,129.95,96.224,+0.19%,6506400
2015-02-12,129.66,130.54,129.45,129.52,95.906,-0.33%,12548300
2015-02-13,129.51,129.53,128.09,128.19,94.921,-1.03%,8325200
2015-02-17,127.80,127.93,125.92,126.26,93.492,-1.51%,14968800
2015-02-18,126.82,127.74,126.47,127.01,94.047,+0.59%,14009200
2015-02-19,126.78,127.45,126.17,126.17,93.425,-0.66%,8584800
2015-02-20,127.05,128.01,126.00,126.54,93.699,+0.29%,12502500
2015-02-23,127.19,128.17,127.16,127.99,94.773,+1.15%,7500500
2015-02-24,127.65,129.79,127.18,129.67,96.017,+1.31%,11958300
2015-02-25,129.46,130.39,129.08,130.23,96.432,+0.43%,8019800
2015-02-26,129.70,130.30,128.40,128.45,95.113,-1.37%,11020500
2015-02-27,129.02,129.62,128.27,129.53,95.913,+0.84%,9225100
2015-03-02,129.00,129.07,126.77,126.87,94.127,-2.05%,11324000
